CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Quarter,Year,Date_Leave
708082083,Existing Customer,46,F,High School,Married,$40K - $60K,Blue,48,4,2,3,3544,943,44,none,2019,"none,2019"
708082083,Existing Customer,45,F,High School,Married,$40K - $60K,Blue,36,4,3,3,3544,1661,111,none,2018,"none,2018"
708083283,Attrited Customer,58,M,College,Single,$40K - $60K,Blue,45,3,1,3,3421,2517,21,Q4,2018,"Q4,2018"
708084558,Attrited Customer,60,M,Graduate,Divorced,$60K - $80K,Silver,38,6,3,3,8258,1771,23,Q2,2018,"Q2,2018"
708085458,Attrited Customer,35,F,Uneducated,Single,Less than $40K,Blue,36,6,2,2,1500,784,47,Q4,2019,"Q4,2019"
708085458,Existing Customer,34,F,Uneducated,Single,Less than $40K,Blue,24,6,2,2,"1438,3",0,82,none,2018,"none,2018"
708086958,Existing Customer,50,F,High School,Married,Less than $40K,Blue,53,3,1,2,3128,232,80,none,2019,"none,2019"
708086958,Existing Customer,49,F,High School,Married,Less than $40K,Blue,41,3,5,2,3128,749,59,none,2018,"none,2018"
708095133,Existing Customer,44,M,Graduate,Married,$120K +,Platinum,46,5,6,2,33304,1041,56,none,2019,"none,2019"
708095133,Existing Customer,43,M,Graduate,Married,$120K +,Platinum,34,5,2,2,33304,1833,29,none,2018,"none,2018"
708098133,Existing Customer,32,F,Graduate,Married,Less than $40K,Blue,31,6,6,0,2834,278,46,none,2019,"none,2019"
708098133,Existing Customer,32,F,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834,1418,39,none,2018,"none,2018"
708099183,Existing Customer,37,F,High School,Single,$40K - $60K,Silver,48,4,5,2,5723,513,82,none,2019,"none,2019"
708099183,Existing Customer,37,F,High School,Single,$40K - $60K,Silver,36,4,2,2,5723,1873,63,none,2018,"none,2018"
708100533,Existing Customer,55,F,College,Married,$40K - $60K,Blue,48,3,6,3,2679,1492,44,none,2019,"none,2019"
708100533,Existing Customer,55,F,College,Married,$40K - $60K,Blue,36,3,3,3,2679,2277,85,none,2018,"none,2018"
708103608,Existing Customer,52,M,High School,Single,$60K - $80K,Silver,45,1,5,1,11898,2517,128,none,2018,"none,2018"
708103608,Existing Customer,52,M,High School,Single,$60K - $80K,Silver,57,1,1,1,11898,1453,50,none,2019,"none,2019"
708104658,Existing Customer,46,M,Graduate,Married,Less than $40K,Blue,48,4,0,2,1500,779,59,none,2019,"none,2019"
708104658,Existing Customer,46,M,Graduate,Married,Less than $40K,Blue,36,4,3,2,"1438,3",890,48,none,2018,"none,2018"
708108333,Attrited Customer,55,F,Graduate,Married,$40K - $60K,Silver,36,3,3,1,5590,0,32,Q2,2018,"Q2,2018"
708112008,Existing Customer,56,M,Graduate,Married,$80K - $120K,Gold,36,4,2,3,23510,1049,35,none,2018,"none,2018"
708112008,Attrited Customer,56,M,Graduate,Married,$80K - $120K,Gold,48,4,6,3,23510,353,49,Q3,2019,"Q3,2019"
708113208,Existing Customer,53,F,High School,Married,Less than $40K,Blue,48,3,0,2,1688,618,68,none,2019,"none,2019"
708113208,Existing Customer,53,F,High School,Married,Less than $40K,Blue,36,3,2,2,1688,0,69,none,2018,"none,2018"
708117933,Attrited Customer,51,F,Graduate,Divorced,Less than $40K,Blue,36,3,2,3,1880,0,34,Q1,2018,"Q1,2018"
708119658,Existing Customer,49,F,Graduate,Married,$40K - $60K,Silver,38,4,2,1,12836,1034,53,none,2018,"none,2018"
708119658,Existing Customer,49,F,Graduate,Married,$40K - $60K,Silver,50,4,5,1,12836,993,69,none,2019,"none,2019"
708121908,Attrited Customer,60,M,Graduate,Married,$80K - $120K,Gold,36,2,3,2,22917,0,45,Q2,2018,"Q2,2018"
708123033,Existing Customer,41,F,Graduate,Single,$40K - $60K,Silver,30,2,1,1,11463,0,105,none,2018,"none,2018"
708123033,Existing Customer,41,F,Graduate,Single,$40K - $60K,Silver,42,2,0,1,11463,762,40,none,2019,"none,2019"
708125733,Existing Customer,46,F,College,Divorced,Less than $40K,Blue,48,4,2,1,2400,299,89,none,2019,"none,2019"
708125733,Existing Customer,46,F,College,Divorced,Less than $40K,Blue,36,4,3,1,"1438,3",0,77,none,2018,"none,2018"
708128733,Existing Customer,50,F,College,Married,Less than $40K,Blue,48,5,4,3,1814,1214,57,none,2019,"none,2019"
708128733,Existing Customer,50,F,College,Married,Less than $40K,Blue,36,5,4,3,1814,0,99,none,2018,"none,2018"
708129933,Existing Customer,45,F,Graduate,Married,$40K - $60K,Blue,36,5,3,2,2072,1544,64,none,2018,"none,2018"
708129933,Existing Customer,45,F,Graduate,Married,$40K - $60K,Blue,48,5,2,2,2072,660,83,none,2019,"none,2019"
708132783,Existing Customer,47,F,College,Married,$60K - $80K,Gold,42,6,2,2,16411,1179,71,none,2018,"none,2018"
708132783,Existing Customer,47,F,College,Married,$60K - $80K,Gold,54,6,1,2,16411,592,49,none,2019,"none,2019"
708134283,Attrited Customer,35,M,High School,Married,Less than $40K,Blue,48,4,3,3,3131,797,76,Q1,2019,"Q1,2019"
708134283,Existing Customer,35,M,High School,Married,Less than $40K,Blue,36,4,3,3,3131,629,31,none,2018,"none,2018"
708136908,Attrited Customer,62,F,Graduate,Single,$40K - $60K,Blue,65,5,1,2,2616,670,42,Q2,2019,"Q2,2019"
708136908,Existing Customer,62,F,Graduate,Single,$40K - $60K,Blue,53,5,2,2,2616,801,68,none,2018,"none,2018"
708139833,Attrited Customer,60,M,Graduate,Married,$60K - $80K,Silver,30,4,2,3,6391,0,44,Q2,2018,"Q2,2018"
708145908,Existing Customer,61,F,Graduate,Married,$40K - $60K,Silver,50,3,3,0,4906,2185,71,none,2018,"none,2018"
708145908,Attrited Customer,61,F,Graduate,Married,$40K - $60K,Silver,62,3,2,0,4906,580,41,Q1,2019,"Q1,2019"
708147108,Existing Customer,26,M,College,Married,$80K - $120K,Gold,36,6,1,3,21084,2517,71,none,2018,"none,2018"
708147108,Attrited Customer,26,M,College,Married,$80K - $120K,Gold,48,6,1,3,21084,1474,75,Q2,2019,"Q2,2019"
708148158,Existing Customer,39,F,Graduate,Married,Less than $40K,Blue,33,2,4,2,1827,422,36,none,2019,"none,2019"
708148158,Existing Customer,39,F,Graduate,Married,Less than $40K,Blue,21,2,3,2,1827,0,86,none,2018,"none,2018"
708151008,Existing Customer,49,F,Graduate,Married,$40K - $60K,Silver,41,5,1,2,6250,644,41,none,2018,"none,2018"
708151008,Existing Customer,49,F,Graduate,Married,$40K - $60K,Silver,53,5,2,2,6250,1097,55,none,2019,"none,2019"
708152358,Attrited Customer,54,M,Post-Graduate,Married,$80K - $120K,Gold,36,1,3,2,18512,1664,57,Q4,2018,"Q4,2018"
708153558,Existing Customer,46,M,Doctorate,Single,$120K +,Platinum,31,1,2,2,34516,1802,101,none,2018,"none,2018"
708153558,Attrited Customer,46,M,Doctorate,Single,$120K +,Platinum,43,1,5,2,34516,244,39,Q3,2019,"Q3,2019"
708154833,Attrited Customer,55,F,Graduate,Single,Less than $40K,Blue,27,1,3,3,"1438,3",811,46,Q2,2018,"Q2,2018"
708155733,Existing Customer,53,M,College,Single,$60K - $80K,Silver,44,4,2,2,14734,1634,23,none,2018,"none,2018"
708155733,Attrited Customer,53,M,College,Single,$60K - $80K,Silver,56,4,4,2,14734,359,67,Q3,2019,"Q3,2019"
